pdb_id,ligand,source,scenario,pose_name,pose_path,status,method,rmsd_angstrom,n_atoms_ref,n_atoms_pose,n_atoms_mapped,mapping_coverage,ref_residue,pose_residue,error
4HT0,V50,diffdock_sdf,diffdock,rank3_confidence-0.47|idx_3,output/diffdock_workflow/poses/4HT0/complex_0/rank3_confidence-0.47.sdf,ok_low_coverage,atom_name,2.511279023618708,23.0,23.0,6.0,0.2608695652173913,V50|A|304,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4HT0,V50,diffdock_sdf,diffdock,rank4_confidence-0.64|idx_4,output/diffdock_workflow/poses/4HT0/complex_0/rank4_confidence-0.64.sdf,ok_low_coverage,atom_name,2.5423082752771724,23.0,23.0,6.0,0.2608695652173913,V50|A|304,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4HT0,V50,diffdock_complex_pdb,diffdock,4HT0_diffdock_complex,output/diffdock_workflow/complexes/4HT0_diffdock_complex.pdb,ok,rdkit_best_rms,1.3487092068584154,23.0,23.0,23.0,1.0,V50|A|304,UNL|L|1,
4HT0,V50,boltz_cif,crystal_pocket,4HT0_crystal_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4HT0_crystal_pocket/4HT0_crystal_pocket_model_0.cif,ok,rdkit_best_rms,0.7898883126477503,23.0,23.0,23.0,1.0,V50|A|304,LIG1|V50|1,
4HT0,V50,boltz_cif,default,4HT0_default_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4HT0_default/4HT0_default_model_0.cif,ok,rdkit_best_rms,1.0300205846076393,23.0,23.0,23.0,1.0,V50|A|304,LIG1|V50|1,
4HT0,V50,boltz_cif,diffdock_pocket,4HT0_diffdock_pocket_model_0|idx_0,output/boltz_results_boltz_inputs/predictions/4HT0_diffdock_pocket/4HT0_diffdock_pocket_model_0.cif,ok,rdkit_best_rms,0.7131925310405858,23.0,23.0,23.0,1.0,V50|A|304,LIG1|V50|1,
4K0S,AZM,diffdock_sdf,diffdock,rank1|idx_1,output/diffdock_workflow/poses/4K0S/complex_0/rank1.sdf,ok_low_coverage,atom_name,1.0453744924294643,13.0,13.0,4.0,0.3076923076923077,AZM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4K0S,AZM,diffdock_sdf,diffdock,rank1_confidence0.59|idx_1,output/diffdock_workflow/poses/4K0S/complex_0/rank1_confidence0.59.sdf,ok_low_coverage,atom_name,1.0453744924294643,13.0,13.0,4.0,0.3076923076923077,AZM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4K0S,AZM,diffdock_sdf,diffdock,rank2_confidence0.57|idx_2,output/diffdock_workflow/poses/4K0S/complex_0/rank2_confidence0.57.sdf,ok_low_coverage,atom_name,1.0943523253843368,13.0,13.0,4.0,0.3076923076923077,AZM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
4K0S,AZM,diffdock_sdf,diffdock,rank3_confidence0.49|idx_3,output/diffdock_workflow/poses/4K0S/complex_0/rank3_confidence0.49.sdf,ok_low_coverage,atom_name,2.8578499286445913,13.0,13.0,4.0,0.3076923076923077,AZM|A|302,SDF|LIG|1,No sub-structure match found between the reference and probe mol
